Name,Ratings,Cuisines,Average Cost,Known For,Frequent Searches
Blabber All Day,4.5,"Asian, Italian, Pasta, North Indian, Pizza, Chinese, Cafe, Beverages","₹2,200","Ambience was Super Cool, Beautiful Place, Beautiful Ambience, Vibe, Server, Elaborate Menu","blabber all day menu, blabber all day juhu menu, blabber all day mumbai, blabber all day mumbai menu, blabber all day restaurant"
Ananda Cafe,4.1,"Cafe, Bakery, Continental",₹700,"Sanitised Service, Very Affordable, Vibe, Cafe, Concept, Customizable Food","ananda cafe menu, ananda cafe juhu menu, ananda cafe mumbai, ananda cafe mumbai menu, ananda cafe restaurant
India
English
ABOUT ZOMATO
Who We Are
Blog
Work With Us
Investor Relations
Report Fraud
Press Kit
Contact Us
ZOMAVERSE
Zomato
Blinkit
Feeding India
Hyperpure
Zomaland
FOR RESTAURANTS
Partner With Us
Apps For You
FOR ENTERPRISES
Zomato For Enterprise
LEARN MORE
Privacy
Security
Terms
Sitemap
SOCIAL LINKS
By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2024 © Zomato™ Ltd. All rights reserved"
Third Wave Coffee,4.1,"Cafe, Coffee, Tea, Beverages, Sandwich, Fast Food, Pizza, Desserts",₹500,"Variety of Pizza, Good Wifi, Weekend Brunch, Nice Service, Student Crowd, Friendly Service","third wave coffee menu, third wave coffee juhu menu, third wave coffee mumbai, third wave coffee mumbai menu, third wave coffee restaurant"
Javaphile,4.0,"Cafe, Beverages, Continental, Fast Food, Desserts",₹950,"Interiors are Adorable, Excellent Location, Tasty Appetizers, Sanitised Service, Filling Food, Food Tastes Great","javaphile menu, javaphile pali hill, bandra west menu, javaphile mumbai, javaphile mumbai menu, javaphile restaurant"
Earth Cafe @ Juhu,4.3,"Cafe, Coffee, Continental, Healthy Food, Italian, Fast Food, Desserts, Beverages","₹2,000","Elaborate Menu, Fresh Food, Ambiance, Good Quality, Staff, Experience","earth cafe @ juhu menu, earth cafe @ juhu juhu menu, earth cafe @ juhu mumbai, earth cafe @ juhu mumbai menu, earth cafe @ juhu restaurant"
Love & Latte,3.6,"Cafe, Coffee, Desserts, Beverages, Fast Food, Sandwich, Pizza, Pasta",₹700,"Sit and Read, Bookshelf, Quaint Little Place, Serving Size, Cozy Ambience, Games","love and latte juhu, love and latte juhu menu, love n latte juhu, love & latte menu, love & latte juhu menu
India
English
ABOUT ZOMATO
Who We Are
Blog
Work With Us
Investor Relations
Report Fraud
Press Kit
Contact Us
ZOMAVERSE
Zomato
Blinkit
Feeding India
Hyperpure
Zomaland
FOR RESTAURANTS
Partner With Us
Apps For You
FOR ENTERPRISES
Zomato For Enterprise
LEARN MORE
Privacy
Security
Terms
Sitemap
SOCIAL LINKS
By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2024 © Zomato™ Ltd. All rights reserved"
Masa Bakery,3.6,"Cafe, Coffee, Bakery, Beverages",₹500,"bai
/
Western Suburbs
/
Juhu
/
Masa Bakery
View Gallery
Masa Bakery
3.6
18
Dining Ratings
4.2
89
Delivery Ratings
Cafe, Coffee, Bakery, Beverages
Juhu, Mumbai
Closed
Opens at 9am
Direction
Bookmark
Share
Overview
Order Online
Reviews
Photos
Menu
About this place
Menu
See all menus
Beverages
2 pages
Food Menu
2 pages
Cuisines
Cafe
Coffee
Bakery
Beverages","masa bakery menu, masa bakery juhu menu, masa bakery mumbai, masa bakery mumbai menu, masa bakery restaurant
India
English
ABOUT ZOMATO
Who We Are
Blog
Work With Us
Investor Relations
Report Fraud
Press Kit
Contact Us
ZOMAVERSE
Zomato
Blinkit
Feeding India
Hyperpure
Zomaland
FOR RESTAURANTS
Partner With Us
Apps For You
FOR ENTERPRISES
Zomato For Enterprise
LEARN MORE
Privacy
Security
Terms
Sitemap
SOCIAL LINKS
By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2024 © Zomato™ Ltd. All rights reserved"
Prithvi Cafe,4.3,"North Indian, Bakery, Biryani, Pasta, Rolls, Beverages, Fast Food",₹600,"Artistic Ambience, Artistic Decor, Pocket Friendly Menu, Beautiful Lighting, Outdoor Ambience, Awesome Cafe","prithvi cafe, 1, prithvi cafe juhu, prithvi cafe menu, prithvi cafe juhu menu"
Silver Beach Cafe,4.0,"Pizza, Italian, Cafe, Continental, Salad, Beverages, Sandwich, Desserts","₹2,000","Romantic, Romantic Candle Light Dinner, Wooden Interiors, Breakfast Options, Authentic, Nice Cozy Place","silver beach cafe, 1, silver beach cafe juhu, silver beach, silver beach cafe mumbai maharashtra"
Ettarra,4.9,"Cafe, Desserts, Coffee, Bakery, Beverages, Shake","₹1,000","Amazing Service, Vibe, Student Crowd, Excellent Service, Customizable Food, Elaborate Menu","ettarra menu, ettarra juhu menu, ettarra mumbai, ettarra mumbai menu, ettarra restaurant
India
English
ABOUT ZOMATO
Who We Are
Blog
Work With Us
Investor Relations
Report Fraud
Press Kit
Contact Us
ZOMAVERSE
Zomato
Blinkit
Feeding India
Hyperpure
Zomaland
FOR RESTAURANTS
Partner With Us
Apps For You
FOR ENTERPRISES
Zomato For Enterprise
LEARN MORE
Privacy
Security
Terms
Sitemap
SOCIAL LINKS
By continuing past this page, you agree to our Terms of Service, Cookie Policy, Privacy Policy and Content Policies. All trademarks are properties of their respective owners. 2008-2024 © Zomato™ Ltd. All rights reserved"
